x,y,rho
2.529757793144573053e-01,-2.902442191391131979e-02,1.731760689108835294e+00
2.423503000867855972e-01,-2.961200294801112631e-02,1.743620575895586278e+00
2.317219764745947486e-01,-3.014539671903290752e-02,1.759680863729895517e+00
2.210909051761071886e-01,-3.062088198481011103e-02,1.768987449819700464e+00
2.104572619014682955e-01,-3.103434275789240110e-02,1.782162953183419551e+00
1.998212421241424563e-01,-3.138122453607858353e-02,1.802003301458543483e+00
1.891831260331494624e-01,-3.165647495385194576e-02,1.814793507919056470e+00
1.785433249939536449e-01,-3.185447140085091722e-02,1.828616545433563889e+00
1.679023085351230571e-01,-3.196893296439637377e-02,1.859182876756198421e+00
1.572607255300059736e-01,-3.199280313537984644e-02,1.892261199474138733e+00
1.466194109549129321e-01,-3.191809960668599150e-02,1.903687372282959256e+00
1.359794088216780827e-01,-3.173571625505541838e-02,1.931025838730451971e+00
1.253421317742539620e-01,-3.143515655686973664e-02,1.965873932930622958e+00
1.147094204494011060e-01,-3.100416673779930743e-02,1.997350806169410298e+00
1.040836460978107614e-01,-3.042821437962754672e-02,2.040837387712605810e+00
9.346800304236907442e-02,-2.968973654402597834e-02,2.074343084349058675e+00
8.286694619624246361e-02,-2.876701255359822434e-02,2.106914450316355047e+00
7.231245982168868491e-02,-2.763573632405514485e-02,2.119340599359665678e+00
6.284140878999988633e-02,-2.642071918410418899e-02,2.144017095887655877e+00
5.563328105709858251e-02,-2.534254839957971600e-02,2.191388416919506366e+00
5.001967335128496006e-02,-2.438702061548043282e-02,2.163228634995708610e+00
4.479263080075421288e-02,-2.339391180978168949e-02,2.204563380948639129e+00
3.958723113409721994e-02,-2.229346750357443646e-02,2.239858246487824722e+00
3.440978654828225763e-02,-2.106892504875029423e-02,2.287797890197498241e+00
2.926943380991359894e-02,-1.969801112375052857e-02,2.385391433149438356e+00
2.418008371841263993e-02,-1.815002019636166586e-02,2.447109796797995340e+00
1.916433522377957929e-02,-1.638064036268498461e-02,2.611801182923172870e+00
1.426221351031803364e-02,-1.432214908864586946e-02,2.853731385171843105e+00
9.553610582246402708e-03,-1.186357727335362461e-02,3.152438826241922509e+00
5.226615752415397775e-03,-8.811062782760810744e-03,3.509875695919728145e+00
1.803247368520607052e-03,-4.861257001391575995e-03,3.301132579525951183e+00
4.143961837095415921e-04,-1.717775447360441604e-07,3.687962310979469027e+00
1.803069316053304430e-03,4.860953218174626257e-03,3.103024389455777854e+00
5.226343697153048445e-03,8.810829090047442649e-03,1.904271935627074752e+00
9.553300949582323176e-03,1.186339322075493155e-02,1.486783652496464381e+00
1.426188630246582462e-02,1.432199749823154927e-02,1.409957624427697009e+00
1.916399832097835654e-02,1.638051151063625935e-02,1.284212031305066892e+00
2.417974070726481434e-02,1.814990830186537230e-02,1.190808762643798424e+00
2.926908661483670210e-02,1.969791252041049046e-02,1.142110396429860675e+00
3.440943639788836272e-02,2.106883729044796080e-02,1.116755653241273016e+00
3.958687874569231935e-02,2.229338882974088096e-02,1.087559582346199205e+00
4.479227681058169791e-02,2.339384094793847679e-02,1.071391922875902569e+00
5.001931805836178080e-02,2.438695656155816238e-02,1.066383953178770660e+00
5.563288869498952960e-02,2.534248525557269982e-02,1.064646077981061367e+00
6.284108350311967683e-02,2.642067204662659069e-02,1.058826339476516942e+00
7.231235013153233804e-02,2.763572201719102089e-02,1.055857795555690481e+00
8.286694861257638822e-02,2.876701278736235740e-02,1.043410509396629715e+00
9.346800540295224780e-02,2.968973672821082627e-02,1.018021603020598409e+00
1.040836483963335224e-01,3.042821452140932748e-02,9.840128753585802857e-01
1.147094226894347507e-01,3.100416684352389970e-02,9.553123391192273051e-01
1.253421339572846904e-01,3.143515663168654217e-02,9.339068779921565477e-01
1.359794109448889121e-01,3.173571630303309576e-02,9.116517864778976854e-01
1.466194130200409451e-01,3.191809963146519102e-02,8.927248480361229532e-01
1.572607275384196868e-01,3.199280314003760672e-02,8.803630201881305073e-01
1.679023104866285976e-01,3.196893295160739557e-02,8.729978528598332232e-01
1.785433268870969536e-01,3.185447137297173215e-02,8.503205938700397759e-01
1.891831278685868478e-01,3.165647491296239013e-02,8.400490850963355793e-01
1.998212439018762776e-01,3.138122448404079279e-02,8.415304858484453643e-01
2.104572636204639635e-01,3.103434269640539464e-02,8.275079802894718117e-01
2.210909068331370353e-01,3.062088191552170963e-02,8.081218210744013364e-01
2.317219780682319152e-01,3.014539664339223324e-02,8.062319800049999596e-01
2.423503016220740491e-01,2.961200286702064810e-02,8.204139751065475661e-01
2.529757807932895286e-01,2.902442182857994935e-02,8.052413619042994020e-01
2.635983366381806636e-01,2.838602084437100159e-02,7.898820766562820728e-01
2.742179009603644690e-01,2.769984503811917520e-02,7.902155845250641297e-01
2.848344636563219234e-01,2.696864045767130569e-02,7.857543106245907794e-01
2.954480278721586251e-01,2.619487849190371698e-02,7.689684323701863056e-01
3.060585729768421359e-01,2.538077723571174199e-02,7.647456598586795939e-01
3.166661049535376971e-01,2.452831360208244937e-02,7.706783227011938520e-01
3.272706375662714495e-01,2.363923825985124461e-02,7.757890707560312071e-01
3.378721620001183812e-01,2.271508964891622712e-02,7.677526988887490855e-01
3.484706982148970678e-01,2.175719977513247694e-02,7.504598734424864359e-01
3.590662369073772675e-01,2.076670811688408058e-02,7.441791383003250049e-01
3.696587729209036555e-01,1.974456615278768340e-02,7.476709948847248821e-01
3.802482882959924426e-01,1.869154603541505963e-02,7.511268503863786083e-01
3.908347433688542649e-01,1.760824726123138423e-02,7.434618320182655449e-01
4.014181074552047868e-01,1.649509914925263027e-02,7.391363959417888152e-01
4.119983171575654080e-01,1.535236978615369015e-02,7.339108994412455456e-01
4.225752903024314611e-01,1.418016914789099053e-02,7.400444499494756023e-01
4.331489484148238756e-01,1.297845038522881488e-02,7.369791046179445804e-01
4.437192083182436297e-01,1.174701433646400950e-02,7.267841658435225671e-01
4.542859224335592527e-01,1.048551981246173374e-02,7.278829477894319666e-01
4.648489195949008224e-01,9.193482302596535718e-03,7.205120434175749100e-01
4.754080664428319558e-01,7.870269122395353451e-03,7.198224034599767229e-01
4.859631749607785101e-01,6.515113638879169514e-03,7.098088079054603039e-01
4.965140057109154181e-01,5.127117664142574749e-03,7.098471404336695878e-01
5.070603201478142141e-01,3.705247591378314862e-03,7.098425524589031532e-01
5.176018511643765141e-01,2.248340748893383652e-03,7.052321594069008714e-01
5.281356936874763708e-01,7.554872909527300066e-04,7.047033625098361176e-01
